	Publicerad:	Tillträde:	Tillgänglig from:	Anmäl senast:	Antal sökande:	Område:	Adress:	Obj.nr:	Rum:	Boyta:	Våning:	Hyra:	Byggt:	Fastighet:	Byggnad:	Ombygg.år:
0	2022-05-30	2022-08-01	2022-08-01	2022-06-04	341	Boplatsen	Båtyxevägen 28	4111-28-0112	3 Rum och kök F	71 m²	1	6 881 kr	1986	Boplatsen 1		
1	2022-06-02	2022-09-01	2022-09-01	2022-06-07	274	Dövstumskolan	Vaktkarlsgången 1 B	2041-01-0112	2 Rum och kök F	47 m²	1	5 099 kr	1965	Dövstumskolan 16	Bostad 1 A-D	
2	2022-06-01	2022-09-01	2022-09-01	2022-06-06	135	Eddan	Vikingavägen 4 B	3411-54-0232	2 Rum och kokvrå F	46 m²	3	4 724 kr	1972	Eddan 1	Bostad 4 A-C	
3	2022-06-01	2022-09-01	2022-09-01	2022-06-06	59	Eddan	Vikingavägen 20 A	3412-70-0133	2 Rum och kök F	66 m²	3	6 302 kr	1972	Eddan 2	Bostad 20 A-C	
4	2022-05-31	2022-09-01	2022-09-01	2022-06-05	249	Flintyxan	Gunnesbovägen 209	4102-59-0123	3 Rum och kök F	71 m²	2	6 497 kr	1982	Flintyxan 2		1983
5	2022-06-01	2022-08-01	2022-08-01	2022-06-06	65	Fossilen	Guldåkerstorget 4 B	5521-04-0222	1 Rum och kök F	39 m²	2	5 517 kr	2017	Ammoniten 1	Bostad 4 B, C Lokal 4 A, D	
6	2022-05-31	2022-09-01	2022-09-01	2022-06-05	67	Fossilen	Åkerbruksgatan 10 J	5521-10-0921	3 Rum och kök F	77 m²	2	9 094 kr	2017	Ammoniten 1	Bostad 10 A - 10 K	
7	2022-05-31	2022-09-01	2022-09-01	2022-06-05	61	Fossilen	Guldåkerstorget 4 B	5521-04-0236	3 Rum och kök F	79 m²	3	9 223 kr	2017	Ammoniten 1	Bostad 4 B, C Lokal 4 A, D	
8	2022-06-02	2022-09-01	2022-09-01	2022-06-07	77	Harlösabanan	Södra Vägen 7 F	2151-07-0643	2 Rum och kök F	57 m²	4	7 949 kr	2009	Harlösabanan 1	Bostad 7 F-H	
9	2022-06-03	2022-08-01	2022-08-01	2022-06-08	38	Havamal	Vikingavägen 19 A	3402-19-0121	2 Rum och kök F	65 m²	2	6 249 kr	1972	Havamal 2	Bostad 19 A-C	
10	2022-06-01	2022-09-01	2022-09-01	2022-06-06	42	Häradsrätten	Häradsvägen 6	2941-06-0114	2 Rum och kök F	60 m²	1	7 520 kr	2015	Häradsrätten 1	Bostad 6	
11	2022-06-01	2022-09-01	2022-09-01	2022-06-06	65	Klockan, Dalby	Klockarevägen 7 D	6111-07-0421	3 Rum och kök F	74 m²	1	9 135 kr	2020	Klockaren 19	Bostad 01	
12	2022-05-31	2022-09-01	2022-09-01	2022-06-05	59	Linero torg	Iduns Plats 3	3521-03-0501	3 Rum och kök F	80 m²	5	9 975 kr	2017	Havamal 4	Havamal 4	
13	2022-05-31	2022-09-01	2022-09-01	2022-06-05	254	Lövsångaren 5 m fl	Örnvägen 88	1304-88-0142	2 Rum och kokvrå F	37 m²	4	3 506 kr	1978	Lövsångaren 7	Bostad 86,88	1979
14	2022-06-01	2022-09-01	2022-09-01	2022-06-06	210	Lövsångaren 5 m fl	Örnvägen 94	1304-93-0144	2 Rum och kokvrå F	44 m²	4	3 909 kr	1978	Lövsångaren 7	Bostad 90-94	1979
15	2022-05-31	2022-09-01	2022-09-01	2022-06-05	232	Lövsångaren 5 m fl	Örnvägen 78	1305-78-0131	2 Rum och kokvrå F	52 m²	3	4 470 kr	1978	Lövsångaren 8	Bostad 74-78	1979
16	2022-06-03	2022-09-01	2022-09-01	2022-06-08	41	Offerkällan	Sankt Hans Gränd 12 B	3001-33-0212	2 Rum och kök F	72 m²	1	7 478 kr	1968	Offerkällan 1	Bostad 12 A-D	
17	2022-06-02	2022-08-01	2022-08-01	2022-06-07	82	Offerkällan	Sankt Hans Gränd 7 A	3001-04-0122	3 Rum och kök F	87 m²	2	8 179 kr	1968	Offerkällan 1	Bostad 7 A-C	
18	2022-06-02	2022-09-01	2022-09-01	2022-06-07	257	Regnbågen	Regnbågsgången 6	2811-06-0122	4 Rum och kök F	98 m²	2	9 763 kr	1989	Regnbågen 7	Bostad 4-6	
19	2022-06-03	2022-07-01	2022-07-01	2022-06-06	60	Riksvapnet	Landsdomarevägen 5	2311-05-0110	1 Rum och kök F	45 m²	1	4 010 kr	1967	Riksvapnet 3	Bostad 5	
20	2022-05-31	2022-09-01	2022-09-01	2022-06-05	69	Sofieberg	Warholms väg 2 C	2391-02-3303	2 Rum och kök F	42 m²	3	6 016 kr	2018	Sofieberg 1	Sofieberg 1	
21	2022-06-02	2022-09-01	2022-09-01	2022-06-07	101	Solgårdarna m fl	Van Dürens Väg 43 C	1203-24-0312	1 Rum och kök F	44 m²	1	4 391 kr	1948	Snickaren 3	Bostad 43	1961
22	2022-05-31	2022-09-01	2022-09-01	2022-06-05	157	Solgårdarna m fl	Hårlemans Väg 4 A	1203-17-0122	1 Rum och kök F	46 m²	2	4 817 kr	1948	Snickaren 3	Bostad 4	1961
23	2022-06-01	2022-10-01	2022-10-01	2022-06-06	184	Solgårdarna m fl	Murarevägen 4 B	1208-12-0213	2 Rum och kök F	55 m²	1	5 227 kr	1948	Solgårdarna 9	Bostad 4	1961
24	2022-06-02	2022-08-01	2022-08-01	2022-06-07	63	Spjället/Pottugnen	Högbovägen 1 L	2503-49-0302	1 Rum och kokvrå F	37 m²	0	3 985 kr	1963	Pottugnen 2	Bostad 1 I-M	1993
25	2022-06-02	2022-09-01	2022-09-01	2022-06-07	107	Spjället/Pottugnen	Högbovägen 1 K	2503-49-0221	3 Rum och kök F	71 m²	2	6 971 kr	1963	Pottugnen 2	Bostad 1 I-M	1993
26	2022-05-31	2022-09-01	2022-09-01	2022-06-05	175	Tvärskeppet, Södra Sandby	Östanbäcksvägen 100	6321-00-0100	4 Rum och kök F	88 m²	2	7 803 kr	1993	Tvärskeppet 1	Bostad 92-102	
27	2022-05-31	2022-09-01	2022-09-01	2022-06-05	56	Xplorion	Brunnshögsgatan 19	4211-19-0124	2 Rum och kök F	52 m²	2	6 937 kr	2020	Solbjer 2	Bostad 01	
28	2022-05-31	2022-09-01	2022-09-01	2022-06-05	31	Xplorion	Solbjerstorget 3	4211-03-0137	2 Rum och kök F	74 m²	3	8 941 kr	2020	Solbjer 2	Bostad 02	
